name,brand,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,price,url,source
Smartphone Infinix SMART 9 4G / 4 Go / 128 Go / Gold,Infinix,4.0,4.0,5000.0,6.6,13.0,8.0,4G,Android 14,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/79414-smartphone-infinix-smart-9-4g-4-go-128-go-gold.html,Tunisianet
Smartphone Infinix SMART 9 4G / 4 Go / 128 Go / Vert,Infinix,4.0,4.0,5000.0,6.6,13.0,8.0,4G,Android 14,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/79413-smartphone-infinix-smart-9-4g-4-go-128-go-vert.html,Tunisianet
Smartphone Infinix SMART 9 4G / 4 Go / 128 Go / Noir,Infinix,4.0,4.0,5000.0,6.6,13.0,8.0,4G,Android 14,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/79411-smartphone-infinix-smart-9-4g-4-go-128-go-noir.html,Tunisianet
Smartphone Tecno SPARK Go 1 4G / 4 Go / 128 Go / Noir,TECNO,4.0,128.0,5000.0,6.78,13.0,8.0,4G,Android 14,Octa Core,325.0,https://www.tunisianet.com.tn/smartphone-tunisie/79275-smartphone-tecno-spark-go-1-4g-4-go-128-go-noir.html,Tunisianet
Smartphone OSCAL FLAT 2 | 4+8G/128G | Bleu,OSCAL,4.0,128.0,5000.0,6.7,13.0,8.0,4G,Android 14,Octa Core,329.0,https://www.tunisianet.com.tn/smartphone-tunisie/90696-smartphone-oscal-flat-2-48g128g-bleu.html,Tunisianet
Smartphone OSCAL FLAT 2 | 4+8G/128G | NOIR,OSCAL,4.0,128.0,5000.0,6.7,13.0,8.0,4G,Android 14,Octa Core,329.0,https://www.tunisianet.com.tn/smartphone-tunisie/90695-smartphone-oscal-flat-2-48g128g-noir.html,Tunisianet
SMARTPHONE VIVO Y04 8 Go / 64 Go / Vert,Vivo,8.0,64.0,5500.0,6.7,13.0,5.0,4G,Android 14,Unisoc,339.0,https://www.tunisianet.com.tn/smartphone-tunisie/88647-smartphone-vivo-y04-8-go-64-go-noir.html,Tunisianet
SMARTPHONE VIVO Y04 8 Go / 64 Go / Gold,Vivo,8.0,64.0,5500.0,6.7,13.0,5.0,4G,Android 14,Unisoc,339.0,https://www.tunisianet.com.tn/smartphone-tunisie/88654-smartphone-vivo-y04-8-go-64-go-gold.html,Tunisianet
Smartphone XIAOMI Redmi A5 / 4 Go / 128 Go / Blue,Xiaomi,4.0,128.0,5200.0,6.73,32.0,8.0,4G,Android 15,Octa Core,345.0,https://www.tunisianet.com.tn/smartphone-tunisie/86986-smartphone-xiaomi-redmi-a5-4-go-128-go-blue.html,Tunisianet
Smartphone XIAOMI Redmi A5 / 4 Go / 128 Go / Gold,Xiaomi,4.0,128.0,5200.0,6.73,32.0,8.0,4G,Android 15,Octa Core,345.0,https://www.tunisianet.com.tn/smartphone-tunisie/86985-smartphone-xiaomi-redmi-a5-4-go-128-go-gold.html,Tunisianet
Smartphone XIAOMI Redmi A5 / 4 Go / 128 Go / Noir,Xiaomi,4.0,128.0,5200.0,6.73,32.0,8.0,4G,Android 15,Octa Core,345.0,https://www.tunisianet.com.tn/smartphone-tunisie/86976-smartphone-xiaomi-redmi-a5-4-go-128-go-noir.html,Tunisianet
Smartphone XIAOMI Redmi A5 / 4 Go / 128 Go / Vert,Xiaomi,4.0,128.0,5200.0,6.73,32.0,8.0,4G,Android 15,Octa Core,345.0,https://www.tunisianet.com.tn/smartphone-tunisie/87977-smartphone-xiaomi-redmi-a5-4-go-128-go-vert.html,Tunisianet
Smartphone Itel S23 / 8 Go / 128 GO / Noir,Itel mobile,4.0,4.0,5000.0,6.0,50.0,8.0,4G,Android 11,Octa Core,349.0,https://www.tunisianet.com.tn/smartphone-tunisie/65752-smartphone-itel-s23-8-go-128-go-noir.html,Tunisianet
Smartphone Itel S23 / 8 Go / 128 GO / Blanc,Itel mobile,4.0,4.0,5000.0,6.0,50.0,8.0,4G,Android 11,Octa Core,349.0,https://www.tunisianet.com.tn/smartphone-tunisie/65753-smartphone-itel-s23-8-go-128-go-blanc.html,Tunisianet
Smartphone Realme C33 / 4 Go / 128 Go / Gold,realme,4.0,128.0,5000.0,5.0,50.0,5.0,4G,Android 12,Octa Core,349.0,https://www.tunisianet.com.tn/smartphone-tunisie/65792-smartphone-realme-c33-4-go-128-go-gold.html,Tunisianet
Samsung Galaxy A07 / 8 Go / 64 Go / Noir,Samsung,8.0,64.0,5000.0,6.7,50.0,8.0,4G,Android 15,Octa Core,349.0,https://www.tunisianet.com.tn/smartphone-tunisie/89152-samsung-galaxy-a07-8-go-64-go-noir.html,Tunisianet
Smartphone Realme C33 / 4 Go / 128 Go / Noir,realme,4.0,128.0,5000.0,5.0,50.0,5.0,4G,Android 12,Octa Core,349.0,https://www.tunisianet.com.tn/smartphone-tunisie/65794-smartphone-realme-c33-4-go-128-go-noir.html,Tunisianet
Smartphone Itel S23 / 8 Go / 256 GO / Blanc,Itel mobile,4.0,4.0,5000.0,6.0,50.0,8.0,4G,Android 11,Octa Core,349.0,https://www.tunisianet.com.tn/smartphone-tunisie/68899-smartphone-itel-s23-8-go-256-go-blanc.html,Tunisianet
