name,brand,price_tnd,original_price_tnd,discount_percent,ram_gb,storage_gb,color,network,availability,product_url,image_url,category,source,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,os,processor_type
iPhone 17 Pro Max 256GB – Orange eSIM,Apple,4.3,5.2,17.3,,256.0,Or,5G,In Stock,https://bestphone.tn/product/iphone-17-pro-max-256gb-orange-esim/,,iphone,BestPhone.tn,,,48.0,18.0,iOS,Apple
iPhone 17 Pro 256GB Dark Blue,Apple,4.0,5.5,27.3,,256.0,Blue,5G,In Stock,https://bestphone.tn/product/iphone-17-pro-256gb-dark-blue/,,iphone,BestPhone.tn,,,48.0,18.0,iOS,Apple
iPhone 17 Pro 256GB Gray,Apple,4.0,5.5,27.3,,256.0,Gray,5G,In Stock,https://bestphone.tn/product/iphone-17-pro-256gb-gray/,,iphone,BestPhone.tn,,,48.0,18.0,iOS,Apple
iPhone 17 Pro 256GB Orange,Apple,4.0,5.5,27.3,,256.0,Or,5G,In Stock,https://bestphone.tn/product/iphone-17-pro-256gb-orange/,,iphone,BestPhone.tn,,,48.0,18.0,iOS,Apple
iPhone 17 Pro 256GB White,Apple,4.0,5.5,27.3,,256.0,White,5G,In Stock,https://bestphone.tn/product/iphone-17-pro-256gb-white/,,iphone,BestPhone.tn,,,48.0,18.0,iOS,Apple
iPhone 16 Pro Max 256GB – Black Titanium,Apple,3.9,4.3,9.3,,256.0,Black,5G,In Stock,https://bestphone.tn/product/iphone-16-pro-max-256gb-black-titanium/,,iphone,BestPhone.tn,,,12.0,12.0,iOS,Apple
iPhone 16 Pro Max 256GB – Desert Titanium,Apple,3.9,4.3,9.3,,256.0,Titanium,5G,In Stock,https://bestphone.tn/product/iphone-16-pro-max-256gb-desert-titanium/,,iphone,BestPhone.tn,,,12.0,12.0,iOS,Apple
iPhone 16 Pro Max 256GB – Natural Titanium,Apple,3.9,4.3,9.3,,256.0,Titanium,5G,In Stock,https://bestphone.tn/product/iphone-16-pro-max-256gb-natural-titanium/,,iphone,BestPhone.tn,,,12.0,12.0,iOS,Apple
iPhone 16 Pro Max 256GB – white Titanium,Apple,3.9,4.3,9.3,,256.0,White,5G,In Stock,https://bestphone.tn/product/iphone-16-pro-max-256gb-white-titanium/,,iphone,BestPhone.tn,,,12.0,12.0,iOS,Apple
iPhone 16 Pro 256GB – Black Titanium,Apple,3.6,4.0,10.0,,256.0,Black,5G,In Stock,https://bestphone.tn/product/iphone-16-pro-256gb-black-titanium/,,iphone,BestPhone.tn,,,12.0,12.0,iOS,Apple
iPhone 16 Pro 256GB – Desert Titanium,Apple,3.6,4.0,10.0,,256.0,Titanium,,In Stock,https://bestphone.tn/product/iphone-16-pro-256gb-desert-titanium/,,iphone,BestPhone.tn,,,,,,
iPhone 16 Pro 256GB – Natural Titanium,Apple,3.6,4.0,10.0,,256.0,Titanium,5G,In Stock,https://bestphone.tn/product/iphone-16-pro-256gb-natural-titanium/,,iphone,BestPhone.tn,,,12.0,12.0,iOS,Apple
iPhone 16 Pro 256GB – White Titanium,Apple,3.6,4.0,10.0,,256.0,White,5G,In Stock,https://bestphone.tn/product/iphone-16-pro-256gb-white-titanium/,,iphone,BestPhone.tn,,,12.0,12.0,iOS,Apple
iPhone  Air 256GB Black,Apple,3.2,5.0,36.0,,256.0,Black,,In Stock,https://bestphone.tn/product/iphone-17-air-256gb-black/,,iphone,BestPhone.tn,,,,,,
iPhone 16 Pro 128GB – Black Titanium,Apple,3.2,3.7,13.5,,128.0,Black,5G,In Stock,https://bestphone.tn/product/iphone-16-pro-128gb-black-titanium/,,iphone,BestPhone.tn,,,12.0,12.0,iOS,Apple
iPhone 16 Pro 128GB – Desert Titanium,Apple,3.2,3.7,13.5,,128.0,Titanium,,In Stock,https://bestphone.tn/product/iphone-16-pro-128gb-desert-titanium/,,iphone,BestPhone.tn,,,,,,
iPhone 16 Pro 128GB – Natural Titanium,Apple,3.2,3.7,13.5,,128.0,Titanium,5G,In Stock,https://bestphone.tn/product/iphone-16-pro-128gb-natural-titanium/,,iphone,BestPhone.tn,,,12.0,12.0,iOS,Apple
iPhone 16 Pro 128GB – White Titanium,Apple,3.2,3.7,13.5,,128.0,White,5G,In Stock,https://bestphone.tn/product/iphone-16-pro-128gb-white-titanium/,,iphone,BestPhone.tn,,,12.0,12.0,iOS,Apple
iPhone 17 256GB Black avec SIM,Apple,3.2,3.7,13.5,,256.0,Black,,In Stock,https://bestphone.tn/product/iphone-17-256gb-black-avec-sim/,,iphone,BestPhone.tn,,,,,,
iPhone 17 256GB Green avec SIM,Apple,3.2,3.7,13.5,,256.0,Green,,In Stock,https://bestphone.tn/product/iphone-17-256gb-green-avec-sim/,,iphone,BestPhone.tn,,,,,,
iPhone 17 256GB Light Bleu avec SIM,Apple,3.2,3.7,13.5,,256.0,Bleu,,In Stock,https://bestphone.tn/product/iphone-17-256gb-light-bleu-avec-sim/,,iphone,BestPhone.tn,,,,,,
iPhone 17 256GB Purple avec SIM,Apple,3.2,3.7,13.5,,256.0,Purple,,In Stock,https://bestphone.tn/product/iphone-17-256gb-purple-avec-sim/,,iphone,BestPhone.tn,,,,,,
iPhone 17 256GB Steel Gray avec SIM,Apple,3.2,3.7,13.5,,256.0,Gray,,In Stock,https://bestphone.tn/product/iphone-17-256gb-steel-gray-avec-sim/,,iphone,BestPhone.tn,,,,,,
iPhone 17 256GB White avec SIM,Apple,3.2,3.7,13.5,,256.0,White,,In Stock,https://bestphone.tn/product/iphone-17-256gb-white-avec-sim/,,iphone,BestPhone.tn,,,,,,
iPhone Air 256GB Light Bleu,Apple,3.2,5.0,36.0,,256.0,Bleu,,In Stock,https://bestphone.tn/product/iphone-17-air-256gb-light-bleu/,,iphone,BestPhone.tn,,,,,,
iPhone Air 256GB Light Gold,Apple,3.2,5.0,36.0,,256.0,Gold,,In Stock,https://bestphone.tn/product/iphone-17-air-256gb-light-gold/,,iphone,BestPhone.tn,,,,,,
iPhone Air 256GB White,Apple,3.2,5.0,36.0,,256.0,White,,In Stock,https://bestphone.tn/product/iphone-17-air-256gb-white/,,iphone,BestPhone.tn,,,,,,
iPhone 16 256GB Bleu,Apple,3.0,3.1,3.2,,256.0,Bleu,,In Stock,https://bestphone.tn/product/iphone-16-256gb-bleu/,,iphone,BestPhone.tn,,,,,,
iPhone 16 256GB Noir,Apple,3.0,3.1,3.2,,256.0,Noir,,In Stock,https://bestphone.tn/product/iphone-16-256gb-noir/,,iphone,BestPhone.tn,,,,,,
iPhone 16 256GB Teal,Apple,3.0,3.1,3.2,,256.0,Teal,,In Stock,https://bestphone.tn/product/iphone-16-256gb-vert/,,iphone,BestPhone.tn,,,,,,
iPhone 16 256GB White,Apple,3.0,3.1,3.2,,256.0,White,,In Stock,https://bestphone.tn/product/iphone-16-256gb-white/,,iphone,BestPhone.tn,,,,,,
iPhone 16 256Go Pink,Apple,3.0,3.1,3.2,,256.0,Pink,,In Stock,https://bestphone.tn/product/iphone-16-256go-pink/,,iphone,BestPhone.tn,,,,,,
iPhone 17 256GB Black eSIM,Apple,3.0,3.6,16.7,,256.0,Black,,In Stock,https://bestphone.tn/product/iphone-17-256gb-black/,,iphone,BestPhone.tn,,,,,,
iPhone 17 256GB Green eSIM,Apple,3.0,3.6,16.7,,256.0,Green,,In Stock,https://bestphone.tn/product/iphone-17-256gb-green/,,iphone,BestPhone.tn,,,,,,
iPhone 17 256GB Light Bleu eSIM,Apple,3.0,3.6,16.7,,256.0,Bleu,,In Stock,https://bestphone.tn/product/iphone-17-256gb-light-bleu/,,iphone,BestPhone.tn,,,,,,
iPhone 17 256GB Purple eSIM,Apple,3.0,3.6,16.7,,256.0,Purple,,In Stock,https://bestphone.tn/product/iphone-17-256gb-purple/,,iphone,BestPhone.tn,,,,,,
